From	To
B3KXS0	5308
B3KXS2	2768
B3KYB2	6416
B3V9H6	22981
B3VCF1	1124
B3VCF2	1124
B3VCF3	1124
B3VCF7	1124
B3VCG1	1124
B4DDD0	1111
B4DDD3	396
B4DDP6	28988
B4DE28	10956
B4DE86	57447
B4DEB5	7433
B4DEK4	6643
B4DEM2	28988
B4DEV4	9564
B4DF85	11143
B4DF96	83939
B4DFB4	11143
B4DFE0	11143
B4DFI5	5152
B4DFR4	6605
B4DFV9	4915
B4DFX8	5315
B4DG34	100526767
B4DG34	51652
B4DG69	3655
B4DGB2	4217
B4DGB5	9564
B4DGI4	7433
B4DGU1	1739
B4DGY4	11143
B4DGZ8	1739
B4DH20	7010
B4DHC7	23229
B4DHD3	7010
B4DHD4	3696
B4DHD6	23263
B4DHH3	87
B4DHN3	2064
B4DHP2	10728
B4DHX5	2232
B4DI27	64714
B4DI33	9093
B4DID0	57610
B4DIG7	8395
B4DII8	351
B4DIK7	2065
B4DIL6	23263
B4DIL8	7249
B4DIN0	8394
B4DIQ7	7249
B4DIW5	9564
B4DJS5	9988
B4DJT4	6502
B4DJZ3	84532
B4DK54	55857
B4DK80	7156
B4DK84	4891
B4DKB0	5567
B4DKB8	3655
B4DKH2	25946
B4DKN0	55869
B4DKQ7	4688
B4DKS4	7412
B4DKU4	4615
B4DL09	701
B4DL20	6648
B4DL58	3066
B4DLG3	701
B4DLN2	2533
B4DLR1	9055
B4DLT4	6198
B4DLW7	900
B4DM39	8073
B4DM45	1639
B4DME1	51399
B4DMV1	55679
B4DN97	64798
B4DNA2	64344
B4DNB6	1482
B4DNE8	972
B4DNF9	1019
B4DNJ6	11171
B4DNM6	7376
B4DNM7	1728
B4DNT3	3454
B4DP11	10728
B4DP21	10728
B4DP33	3029
B4DP38	79084
B4DPJ7	7186
B4DPV0	5236
B4DPX1	10956
B4DQ11	4292
B4DQ13	2151
B4DQ14	83939
B4DQ58	10006
B4DQ60	4615
B4DQ65	2353
B4DQ72	4615
B4DQA7	4688
B4DQB1	221178
B4DQB6	3055
B4DQB7	7132
B4DQH9	57610
B4DQI2	57599
B4DQI8	5908
B4DQL4	11016
B4DQQ4	2232
B4DQU0	221955
B4DQX7	7791
B4DRA7	3029
B4DRH0	5928
B4DRI7	2175
B4DRK4	4957
B4DRN2	7249
B4DS53	4774
B4DSH2	1456
B4DSK3	1111
B4DSQ2	2241
B4DST0	6839
B4DSV3	28964
B4DSZ0	221178
B4DT04	6452
B4DT13	8766
B4DT37	6925
B4DT50	6498
B4DT64	5105
B4DTG1	6198
B4DTL2	5921
B4DTM2	6453
B4DTP5	5586
B4DU25	9882
B4DU87	56848
B4DU92	84126
B4DUB0	3817
B4DUD0	2242
B4DUE2	6418
B4DUG3	6925
B4DUH3	6386
B4DUR0	27252
B4DUS2	8100
B4DUU6	5315
B4DUV9	396
B4DUW9	6935
B4DV19	1123
B4DV22	55869
B4DV32	2065
B4DV66	83879
B4DVG1	5586
B4DVM8	221178
B4DW17	92335
B4DW63	4802
B4DW68	1438
B4DW74	5908
B4DW94	5908
B4DWC3	144100
B4DWH3	4313
B4DWI0	51564
B4DX24	2232
B4DX40	6640
B4DX49	10419
B4DX66	2059
B4DX73	4957
B4DXB4	7709
B4DXG2	6654
B4DXM4	5524
B4DXY7	223
B4DY00	64223
B4DY30	10419
B4DY54	3796
B4DY55	4776
B4DY62	7818
B4DY84	57599
B4DYA0	2771
B4DYJ5	23408
B4DYR1	182
B4DYS1	8661
B4DYV4	2355
B4DZ02	4957
B4DZI2	255488
B4DZY0	5996
B4E029	5451
B4E096	4804
B4E0J7	54700
B4E0Q5	51564
B4E0U4	3551
B4E194	7099
B4E1A7	2147
B4E1C3	2538
B4E1I6	10956
B4E1T7	5520
B4E232	10451
B4E234	83737
B4E235	9882
B4E2B1	8650
B4E2B7	6670
B4E2G0	3568
B4E2G4	5286
B4E2Q1	5567
B4E2Q5	6337
B4E2R7	4734
B4E2V1	2770
B4E2V6	1909
B4E2X5	2771
B4E309	7132
B4E351	3487
B4E3F9	8737
B4E3J7	7057
B4E3K4	64283
B4E3K9	6648
B4E3T0	5241
B4E3T2	54700
B4E3U5	1293
B4E3V3	5467
B5A923	2321
B5A925	3791
B5A926	2324
B5A932	4233
B5A966	2041
B5A967	2041
B5A969	2047
B5A971	2050
B5A972	2050
B5AK60	5243
B5B0C0	409
B5B2M5	4772
B5B2M6	4772
B5B2M7	4772
B5B2M8	4772
B5B2M9	4772
B5B2N1	4772
B5B2N9	4773
B5B2P0	4773
B5B2P2	4773
B5B2P3	4773
B5B2U7	4776
B5B2U8	4776
B5B2U9	4776
B5B2V0	4776
B5B2V1	4776
B5B2V2	4776
B5B2V3	4776
B5B2V4	4776
B5B2V5	4776
B5B2V7	4776
B5B2V8	4776
B5B2V9	4776
B5B2W0	4776
B5B2W1	4776
B5B2W2	4776
B5B2W3	4776
B5B2W4	4776
B5B2W5	4776
B5B2W6	4776
B5B2W7	4776
B5B2W8	4776
B5B2W9	4776
B5B2X0	4776
B5BTY6	1111
B5BU00	4869
B5BU10	10419
B5BU21	1655
B5BU45	840
B5BU56	1874
B5BU66	5601
B5BUA1	5468
B5BUA6	5528
B5BUI2	4435
B5M0B3	28514
B5M0B4	5601
B5M0B5	7132
B5MC23	3976
B5MCC7	52
B5MDA3	64283
B5MDA9	9687
B5MDB7	9814
B5MDS2	133746
B5MDT0	133746
B5ME81	23370
B5ME91	27250
B5MEA7	256076
B5MEB7	84126
B5MED9	144455
B5MEE5	8567
B5TY32	1432
B6CH35	10333
B6EAT9	960
B6ETN8	9882
B6ETN9	9882
B6HY61	673
B6HY61	57670
B6HY62	673
B6HY62	57670
B6HY63	673
B6HY63	57670
B6HY64	673
B6HY64	57670
B6HY65	673
B6HY65	57670
B6HY66	673
B6HY66	57670
B6RFS4	10333
B6RFS5	10333
B6VNV4	355
B6ZDF5	7410
B6ZGS1	5467
B6ZGT8	7182
B6ZGU1	7026
B7TY16	87
B7UUP8	6446
B7UUP9	6446
B7WNM4	868
B7WP08	3481
B7WP11	57447
B7WP22	9322
B7WP75	2886
B7WPD5	57447
B7WPL3	409
B7Z1J5	322
B7Z1J6	322
B7Z1Q7	57732
B7Z1V6	9814
B7Z1V8	22981
B7Z2B8	7249
B7Z2C4	135112
B7Z2F2	5521
B7Z2F3	942
B7Z2G9	57732
B7Z2I4	2115
B7Z2J7	5590
B7Z2M0	22999
B7Z2M2	57732
B7Z2M5	586
B7Z2Q9	22999
B7Z2R8	9414
B7Z2Y0	322
B7Z304	5521
B7Z309	79109
B7Z349	283848
B7Z373	2934
B7Z3F7	2768
B7Z3L2	283848
B7Z3S3	22999
B7Z3W1	5467
B7Z408	6643
B7Z412	9971
B7Z418	3611
B7Z443	54894
B7Z446	10397
B7Z459	7113
B7Z465	7534
