MEK1,MAP2K1,Validated,Rabbit,Epitomics,1235-1,1:15000
MIG-6,ERRFI1,Validated,Mouse,Sigma,WH0054206M1,1:250
Mre11,MRE11A,Use with Caution,Rabbit,CST,4847,1:200
mTOR_pS2448,FRAP1,Use with Caution,Rabbit,CST,2971,1:200
mTOR,FRAP1,Validated,Rabbit,CST,2983,1:400
N-Cadherin,CDH2,Validated,Rabbit,CST,4061,1:100
NF-kB-p65_pS536,NFKB1,Use with Caution,Rabbit,CST,3033,1:250
NF2,NF2,Use with Caution,Rabbit,SDI / Novus,2271.00.02,1:200
Notch1,NOTCH1,Validated,Rabbit,CST,3268,1:100
P-Cadherin,CDH3,Under Evaluation,Rabbit,CST,2130,1:500
p27_pT157,CDKN1B,Use with Caution,Rabbit,R&D,AF1555,1:150
p27,CDKN1B,Validated,Rabbit,Epitomics,1591-1,1:200
p38_MAPK,MAPK14,Validated,Rabbit,CST,9212,1:250
p38_pT180_Y182,MAPK14,Validated,Rabbit,CST,9211,1:250
p53,TP53,Under Evaluation,Rabbit,CST,9282,1:500
p70S6K_pT389,RPS6KB1,Validated,Rabbit,CST,9205,1:250
p70S6K,RPS6KB1,Validated,Rabbit,Epitomics,1494-1,1:250
p90RSK_pT359_S363,RPS6KA1,Use with Caution,Rabbit,CST,9344,1:500
PAI-1,SERPINE1,Under Evaluation,Mouse,BD Biosciences,612024,1:100
Paxillin,PXN,Use with Caution,Rabbit,Epitomics,1500-1,1:1500
PCNA,PCNA,Use with Caution,Mouse,Abcam,ab29,1:100
PDK1_pS241,PDK1,Validated,Rabbit,CST,3061,1:500
Pea-15,PEA15,Validated,Rabbit,CST,2780,1:500
PI3K-p110-alpha,PIK3CA,Use with Caution,Rabbit,CST,4255,1:200
PKC-alpha_pS657,PRKCA,Use with Caution,Rabbit,Upstate (Millipore),06-822,1:3000
PKC-alpha,PRKCA,Validated,Mouse,Upstate (Millipore),05-154,1:2000
PKC-delta_pS664,PRKCD,Validated,Rabbit,Millipore,07-875,1:500
PR,PGR,Validated,Rabbit,Epitomics,1483-1,1:200
PRAS40_pT246,AKT1S1,Validated,Rabbit,Biosource,441100G,1:10000
PTEN,PTEN,Validated,Rabbit,CST,9552,1:500
Rad50,RAD50,Validated,Mouse,Millipore,05-525,1:1000
Rad51,RAD51,Under Evaluation,Mouse,Chem Biotech,na 71,1:250
Rb_pS807_S811,RB1,Validated,Rabbit,CST,9308,1:250
S6_pS235_S236,RPS6,Validated,Rabbit,CST,2211,1:30000
