Gene stable ID,UniProtKB Gene Name ID
ENSG00000160087,A6NGS0
ENSG00000160087,D6RA15
ENSG00000160087,D6RB84
ENSG00000160087,B1AMF0
ENSG00000160087,B1AMF1
ENSG00000160087,D6RC43
ENSG00000160087,D6RD90
ENSG00000160087,Q8N2K1
ENSG00000162408,Q5SY16
ENSG00000162413,Q2NKK7
ENSG00000162413,K7ELI0
ENSG00000162413,K7ESH2
ENSG00000162413,K7EMF2
ENSG00000162413,Q9UJP4
ENSG00000162571,Q6ZVT0
ENSG00000162572,F8VWH5
ENSG00000162572,C9JDY8
ENSG00000162572,P51172
ENSG00000162576,Q9BRK3
ENSG00000162585,F6S8H2
ENSG00000162585,Q6NZ36
ENSG00000162591,H7C557
ENSG00000162591,O75095
ENSG00000162592,J3QKX2
ENSG00000162592,Q2M243
ENSG00000169598,B4DZS0
ENSG00000169598,Q96P72
ENSG00000169598,G3XAD0
ENSG00000169598,Q96P73
ENSG00000169598,O76075
ENSG00000169717,Q8TDY3
ENSG00000169885,B1AKR1
ENSG00000169885,Q8TD86
ENSG00000169962,Q7RTX0
ENSG00000169972,J3KTG4
ENSG00000169972,Q8N0Z8
ENSG00000171680,A0A5F9ZHW8
ENSG00000173662,Q7RTX1
ENSG00000173673,Q5TGS1
ENSG00000175756,Q9NWT8
ENSG00000176022,Q96L58
ENSG00000178821,R4GMU3
ENSG00000178821,B1AKR3
ENSG00000178821,B1AKR2
ENSG00000178821,Q8NDY8
ENSG00000179403,J3QRR0
ENSG00000179403,J3QLP3
ENSG00000179403,Q6PCB0
ENSG00000184163,Q5T7M4
ENSG00000186092,A0A2U3U0J3
ENSG00000186092,Q8NH21
ENSG00000186827,P43489
ENSG00000186891,J3KT02
ENSG00000186891,Q9Y5U5
ENSG00000187017,A0A0J9YW00
ENSG00000187017,A0A0J9YY76
ENSG00000187017,A0A0J9YWQ8
ENSG00000187017,Q5JYL1
ENSG00000187017,A0A0A0MSQ4
ENSG00000187017,K7EMB7
ENSG00000187017,A0A2R8Y6D3
ENSG00000187017,A0A1B0GUS9
ENSG00000187017,A0A1B0GUN9
ENSG00000187017,A0A2R8Y7L7
ENSG00000187017,B1AK53
ENSG00000187583,J3KSM5
ENSG00000187583,Q494U1
ENSG00000187608,A0A096LNZ9
ENSG00000187608,A0A096LPJ4
ENSG00000187608,P05161
ENSG00000187634,I7G285
ENSG00000187634,A0A087X2A3
ENSG00000187634,A0A087X1J5
ENSG00000187634,A0A087X223
ENSG00000187634,A0A087WYW1
ENSG00000187634,A0A087WXB3
ENSG00000187634,A6PWC8
ENSG00000187634,Q5SV95
ENSG00000187634,A0A087WYU3
ENSG00000187634,A0A087WX24
ENSG00000187634,Q96NU1
ENSG00000187642,Q5SV97
ENSG00000187730,A0A1W2PQR3
ENSG00000187730,A0A1W2PQZ5
ENSG00000187730,A0A1W2PRY7
ENSG00000187730,A0A1W2PPP1
ENSG00000187730,A0A1W2PQT2
ENSG00000187730,A0A1W2PRC4
ENSG00000187730,A0A1W2PPH3
ENSG00000187730,O14764
ENSG00000187961,Q0VGE6
ENSG00000187961,Q6TDP4
ENSG00000188157,A0A494C1I6
ENSG00000188157,A0A494C0G5
ENSG00000188157,A0A087X208
ENSG00000188290,D6REB3
ENSG00000188290,E9PB28
ENSG00000188290,Q9HCC6
ENSG00000188976,Q9Y3T9
ENSG00000189339,A0A087WUK8
ENSG00000189339,P0CK96
ENSG00000189409,B4DMZ6
ENSG00000189409,O75086
ENSG00000189409,H0YAE5
ENSG00000189409,D6REP6
ENSG00000189409,J3KRS4
ENSG00000189409,H0YA69
ENSG00000189409,O75900
ENSG00000196581,Q9UKB5
ENSG00000197530,D6RE96
ENSG00000197530,D6R9Q6
ENSG00000197530,D6RDI1
ENSG00000197530,J3QLE0
ENSG00000197530,D6RHY5
ENSG00000197530,F2Z2L2
ENSG00000197530,D6RAZ0
ENSG00000197530,D6RFJ2
ENSG00000197530,D6RED3
ENSG00000197530,J3QR95
ENSG00000197530,E9PD12
ENSG00000197785,Q9NVI7
ENSG00000197921,Q5TA89
ENSG00000198912,Q8IYL3
ENSG00000204859,Q5SY21
ENSG00000204859,Q5SY20
ENSG00000204859,K7EM76
ENSG00000204859,K7ENV2
ENSG00000204859,P10074
ENSG00000205090,A0A096LNN7
ENSG00000205090,Q5SV17
ENSG00000205116,A6NKF7
ENSG00000215788,A0A0C4DGF3
ENSG00000215788,K7EJY9
ENSG00000215788,A0A3B3ISD9
ENSG00000215788,Q93038
ENSG00000215790,P0CK97
ENSG00000215912,A0A1C7CYW7
ENSG00000215912,A8MYJ7
ENSG00000215915,J3QSF3
ENSG00000215915,Q5T2N8
ENSG00000221978,A0A0A0MSF3
ENSG00000221978,J3QSH2
ENSG00000221978,C9J148
ENSG00000221978,Q96S94
ENSG00000224051,J3KST3
ENSG00000224051,S4S694
ENSG00000224051,Q5TA50
ENSG00000228594,F2Z333
ENSG00000235098,E5RJM6
ENSG00000235169,H3BS66
ENSG00000235169,M4WDD3
ENSG00000235169,B2RUZ4
ENSG00000237330,E7ERA6
ENSG00000242485,I3L2X1
ENSG00000242485,Q9BYC9
ENSG00000248333,A0A087WYI9
ENSG00000248333,A0A0D9SEN2
ENSG00000248333,A0A0D9SEI3
ENSG00000248333,A0A0D9SER5
ENSG00000248333,A0A087X1I0
ENSG00000248333,P21127
ENSG00000279457
ENSG00000279928
ENSG00000007923,B1AK20
ENSG00000007923,Q5TH61
ENSG00000007923,Q9NVH1
ENSG00000009724,O00187
ENSG00000011021,A0A3B3IRY0
ENSG00000011021,P51797
ENSG00000028137,B5A977
ENSG00000028137,P20333
ENSG00000048707,R4GMW1
ENSG00000048707,F5GX56
ENSG00000048707,Q5THJ4
ENSG00000049239,O95479
ENSG00000049245,Q6FGG2
ENSG00000049245,K7EKX0
ENSG00000049245,Q15836
ENSG00000049246,Q8TAR6
ENSG00000049246,A2I2N5
ENSG00000049246,A0A087WV69
ENSG00000049246,P56645
ENSG00000049247,Q5H8X8
ENSG00000049247,O95399
ENSG00000049249,K7EJ11
ENSG00000049249,K7EJQ2
ENSG00000049249,Q07011
ENSG00000054523,Q4R9M9
ENSG00000054523,A0A087WWA3
ENSG00000054523,O60333
ENSG00000074800,A0A024R4F1
ENSG00000074800,K7ERS8
ENSG00000074800,K7EM90
